zip,median_hh_income
22125,161364
22150,123114
22151,156015
22152,165906
22153,174228
22172,109956
22180,177111
22182,205108
22191,109316
22192,127177
22193,117337
22201,145000
22202,133762
22203,140135
22204,107941
22205,201094
22206,140877
22207,245745
22209,120515
22213,199306
22301,194819
22302,123539
22303,103656
22304,101600
22305,113537
22306,97132
22307,141667
22309,107376
22310,166061
22311,87626
22312,109272
22314,148451
22315,159805
22401,86230
22405,128259
22406,129167
22407,111129
22408,110112
22443,64810
22482,47308
22485,117560
22508,111357
22546,89247
22553,135856
22554,151480
22556,137287
22560,61082
22601,64258
22602,101398
22603,75104
22611,120381
22620,99896
22624,104375
22630,84631
22645,90875
22655,109169
22657,63975
22660,67917
22664,73530
22701,97892
22712,103618
22801,72067
22802,66423
22812,85941
22841,92862
22846,115491
22901,92145
22902,93463
22903,69340
22911,128235
22932,115545
22939,84209
22947,136250
22960,85391
22963,104259
22968,88929
22980,63943
23005,89335
23059,157897
23060,104468
23061,91626
23072,74559
23075,55567
23103,145234
23111,98969
23112,116465
23113,142344
23114,112738
23116,141711
23129,142708
23139,110349
23140,97500
23141,119535
23150,79050
23181,95699
23185,105431
23188,103160
23219,57507
23220,61381
23221,99816
23222,61345
23223,55731
23224,50475
23225,62949
23226,126655
23227,69187
23228,70260
23229,107854
23230,74763
23231,76505
23233,125665
23234,66619
23235,96083
23236,110499
23237,79606
23238,101523
23294,64164
23314,104029
23320,84305
23321,101568
23322,134880
23323,108730
23324,57045
23325,69909
23430,104065
23434,79877
23435,111700
23451,100697
23452,79085
23453,93838
23454,102796
23455,94069
23456,130533
23462,69040
23464,92468
23487,74243
23502,63208
23503,67649
23504,44659
23505,58579
23507,104295
23508,74885
23509,72816
23510,73524
23513,68380
23517,67375
23518,77594
23523,35533
23601,71279
23602,79475
23603,88246
23605,53815
23606,72874
23607,42334
23608,71126
23661,65446
23662,120972
23663,54336
23666,72568
23669,71222
23692,109066
23693,124433
23701,62349
23702,48835
23703,78707
23704,49583
23707,48926
23801,82563
23803,57813
23805,60807
23831,95750
23832,111684
23834,84338
23836,100921
23842,103364
23851,70122
23860,62141
23875,74543
23901,55886
23950,41010
23970,65170
24011,54986
24012,52973
24013,51290
24014,70381
24015,69831
24016,46512
24017,47360
24018,90885
24019,77870
24055,45227
24060,67675
24073,76800
24078,53665
24083,109207
24084,63146
24101,87112
24112,48770
24141,62969
24148,59428
24153,74260
24168,78229
24175,82314
24179,67565
24201,48764
24202,60905
24210,62734
24211,85747
24219,55252
24273,41978
24290,60923
24293,63413
24301,57718
24343,58252
24382,57509
24401,66300
24440,46178
24450,76587
24477,84260
24482,75866
24486,80990
24501,42222
24502,68872
24504,52571
24523,73957
24540,47924
24541,51427
24551,91067
24558,61019
24572,62030
24588,73231
24592,51547
24701,50455
24740,44793
24901,53403
25003,64631
25015,56681
25064,57263
25071,59710
25143,53205
25159,56517
25168,101660
25177,55046
25213,100711
25301,25417
25302,55210
25303,75872
25304,80931
25306,71654
25309,57937
25311,62800
25312,57246
25313,64385
25314,94556
25315,55083
25401,51909
25403,87512
25404,70633
25405,92536
25411,71349
25414,105500
25419,89284
25425,94048
25427,87184
25428,82885
25430,86806
25438,81875
25443,111593
25504,62530
25506,44013
25507,49245
25523,66563
25526,85176
25530,70508
25535,72446
25541,62782
25545,92813
25550,49497
25560,103160
25571,49201
25701,56292
25702,40708
25703,24139
25704,53189
25705,61329
25801,56836
25813,54364
25818,85938
25825,57795
25827,41198
25832,74184
25840,67628
25844,30526
25862,107763
25873,26788
25880,36264
25901,51735
25918,79323
25921,35451
25951,35918
25962,44004
26003,57703
26031,46797
26037,59508
26040,39444
26041,54419
26059,67094
26062,60702
26070,52359
26101,48710
26104,54331
26105,61674
26150,61786
26155,64485
26170,68125
26187,83226
26201,53832
26241,50538
26287,51855
26301,49816
26330,88962
26361,82697
26362,53125
26426,56163
26431,61023
26452,51695
26501,63529
26505,45536
26508,90041
26534,31413
26554,69712
26726,70944
26750,42500
26836,47770
26847,52139
26851,49776
30252,100770
53503,87361
53508,99948
53511,67067
53515,92625
53516,85324
53517,84722
53520,75205
53525,79323
53527,133883
53528,106823
53529,107560
53530,69511
53531,105000
53532,110022
53533,77849
53534,89045
53536,87667
53538,82783
53545,73889
