radius,mean_neighbors,median_neighbors,ghg_mean,ghg_p25,ghg_median,ghg_p75,water_mean,water_p25,water_median,water_p75,land_mean,land_p25,land_median,land_p75
0,1.01192,1,2.71006e-07,0,0,0,1.39696e-07,0,0,0,3.68348e-07,0,0,0
0.01,10.5217,2,0.0452941,0,0,0.0841101,0.0689206,0,0,0.100577,0.048038,0,0,0.0843075
0.02,30.9477,5,0.0949552,0,0.0617737,0.166876,0.138294,0,0.0696982,0.213655,0.100313,0,0.064119,0.173001
0.03,67.6177,10,0.144311,0,0.13232,0.23043,0.202688,0,0.148609,0.315031,0.152969,0,0.138126,0.246415
0.04,130.34,19,0.193254,0.0252945,0.190339,0.289152,0.259073,0.0281601,0.218042,0.398032,0.205608,0.0286452,0.201873,0.314137
0.05,234.066,33,0.242189,0.0908769,0.242917,0.343602,0.310382,0.0959341,0.281101,0.468943,0.259304,0.0992351,0.259819,0.381534
0.06,390.541,53,0.292925,0.14796,0.292769,0.398995,0.356344,0.153706,0.333873,0.531372,0.312841,0.158472,0.316469,0.445358
0.07,601.644,83,0.34317,0.198427,0.339647,0.461411,0.400419,0.205657,0.384318,0.587264,0.366946,0.213286,0.372079,0.510397
0.08,861.576,123,0.392319,0.248411,0.388626,0.520108,0.44077,0.254133,0.430712,0.637333,0.422136,0.266235,0.432628,0.573784
0.09,1155.25,183,0.440488,0.294979,0.438282,0.583109,0.477647,0.296375,0.472347,0.674839,0.475909,0.317176,0.490723,0.639005
0.1,1463.66,250,0.486337,0.339557,0.486666,0.643845,0.512005,0.337555,0.510837,0.710979,0.525643,0.366966,0.550347,0.692593
0.11,1772.35,336,0.5299,0.381663,0.534789,0.701326,0.542122,0.373259,0.543373,0.738883,0.573717,0.417506,0.611007,0.743386
0.12,2074.14,435,0.570081,0.424545,0.578479,0.748995,0.570937,0.407536,0.57507,0.767396,0.617637,0.466896,0.65768,0.790541
0.13,2369.21,583,0.607414,0.46691,0.619239,0.782594,0.598558,0.441986,0.612799,0.788879,0.65767,0.513434,0.697327,0.836175
0.14,2660.19,768,0.641624,0.50915,0.662089,0.815551,0.623775,0.476073,0.642042,0.805368,0.69263,0.559063,0.73195,0.881161
0.15,2954.68,979,0.673731,0.548583,0.706012,0.845402,0.647474,0.510996,0.667186,0.820325,0.724304,0.60387,0.759819,0.908292
0.16,3263.45,1174,0.70382,0.586912,0.749431,0.870421,0.668998,0.542177,0.687567,0.835134,0.754059,0.650655,0.787967,0.931395
0.17,3597.72,1395,0.730304,0.622038,0.781295,0.889371,0.688763,0.571602,0.707264,0.84797,0.781135,0.688591,0.822462,0.952275
0.18,3969.63,1700,0.754586,0.655972,0.808789,0.901576,0.707502,0.598413,0.728396,0.861637,0.805846,0.721356,0.8628,0.969577
0.19,4392.92,2072,0.776783,0.688348,0.83174,0.91197,0.725711,0.622105,0.749902,0.873911,0.829123,0.754154,0.897659,0.975657
0.2,4882.89,2526,0.796488,0.720099,0.853025,0.921804,0.742561,0.645095,0.771363,0.885285,0.851036,0.782445,0.921663,0.980386
0.21,5453.74,3120,0.814093,0.749421,0.870501,0.930326,0.758819,0.667844,0.792032,0.894838,0.871131,0.809767,0.944941,0.985984
0.22,6120.87,3896,0.829745,0.772817,0.884316,0.936912,0.773879,0.689605,0.807952,0.902911,0.888877,0.840355,0.958911,0.990647
0.23,6895.62,4933,0.843941,0.797255,0.897254,0.942466,0.787414,0.710583,0.820767,0.910182,0.904756,0.874313,0.973849,0.995388
0.24,7787.65,6239,0.85695,0.820644,0.9093,0.946954,0.799704,0.728975,0.832236,0.916161,0.9188,0.906126,0.978601,0.997134
0.25,8803.82,7846,0.868559,0.841354,0.918393,0.951408,0.810593,0.744692,0.842077,0.920604,0.931053,0.927938,0.984386,0.998247
0.26,9943.99,9698,0.878796,0.857218,0.925955,0.955196,0.820525,0.759447,0.850197,0.924707,0.941959,0.947308,0.988908,0.998669
0.27,11201.5,11569,0.887388,0.870973,0.931653,0.958548,0.82946,0.774418,0.85746,0.92793,0.951238,0.960869,0.993903,0.999055
0.28,12562.4,13024,0.895072,0.884502,0.93595,0.961134,0.837747,0.7882,0.863266,0.931696,0.959032,0.974303,0.996766,0.999649
0.29,14007.1,14668,0.901522,0.893922,0.939517,0.963279,0.845217,0.799184,0.868193,0.934695,0.965633,0.980609,0.998154,0.999724
0.3,15514.7,16626,0.907248,0.901799,0.942348,0.965429,0.851978,0.808663,0.872827,0.938056,0.970994,0.98689,0.99873,0.999756
0.325,19404.2,21861,0.919473,0.916855,0.948988,0.971353,0.868148,0.827088,0.884923,0.947055,0.981379,0.996149,0.999642,0.999797
0.35,23191.7,26586,0.930119,0.927966,0.955978,0.975806,0.883632,0.843835,0.901471,0.955882,0.988066,0.998672,0.999724,0.999817
0.375,26612.8,30359,0.938983,0.93815,0.960954,0.979187,0.899728,0.862883,0.916503,0.967766,0.992334,0.999273,0.999757,0.999831
0.4,29530.7,33145,0.945961,0.946154,0.964301,0.981697,0.918371,0.884184,0.942801,0.979011,0.995136,0.999544,0.999778,0.999843
0.425,31908.6,35080,0.951027,0.95108,0.966521,0.983525,0.934818,0.905796,0.966325,0.983856,0.996899,0.999639,0.99979,0.999851
0.45,33787.3,36403,0.95518,0.955183,0.968497,0.984975,0.947354,0.930242,0.973903,0.986113,0.998084,0.999676,0.999796,0.999855
0.475,35240.9,37281,0.958697,0.958831,0.970562,0.986382,0.957433,0.954319,0.976455,0.987295,0.998737,0.999691,0.999799,0.999858
0.5,36343.6,37875,0.961628,0.962064,0.972537,0.98735,0.964283,0.9648,0.977826,0.987989,0.999203,0.999701,0.999801,0.99986
0.525,37170.2,38284,0.96374,0.963774,0.973901,0.988035,0.969058,0.968563,0.978697,0.988404,0.999465,0.999706,0.999803,0.999862
0.55,37779.1,38567,0.965096,0.96469,0.974645,0.988422,0.972193,0.970093,0.97912,0.988632,0.999636,0.999709,0.999804,0.999863
0.575,38217.9,38759,0.965915,0.965274,0.975092,0.988651,0.974235,0.970881,0.979373,0.988709,0.999747,0.999711,0.999804,0.999864
0.6,38525.4,38887,0.966416,0.965579,0.975303,0.988756,0.975398,0.971247,0.979525,0.988756,0.999781,0.999712,0.999804,0.999864
