radius,mean_neighbors,score_mean,score_p25,score_median,score_p75
0,1.01195,0,0,0,0
0.01,10.5063,0.0510472,0,0,0.0769882
0.02,30.8975,0.100499,0,0.0588806,0.176642
0.03,67.5033,0.144528,0,0.117761,0.250229
0.04,130.115,0.186413,0,0.176642,0.307953
0.05,233.658,0.225793,0.06674,0.230802,0.357171
0.06,389.856,0.262186,0.117761,0.269092,0.400073
0.07,600.584,0.295399,0.153976,0.312479,0.437607
0.08,860.056,0.329295,0.199853,0.35296,0.466447
0.09,1153.22,0.360363,0.235199,0.384599,0.5
0.1,1461.12,0.387762,0.269092,0.411841,0.529279
0.11,1769.31,0.41322,0.307595,0.437607,0.541705
0.12,2070.66,0.435825,0.333333,0.466447,0.571316
0.13,2365.34,0.456568,0.35296,0.499804,0.578871
0.14,2656,0.47581,0.375043,0.5,0.599927
0.15,2950.23,0.494439,0.400073,0.526483,0.60011
0.16,3258.83,0.512589,0.423101,0.538494,0.624957
0.17,3593,0.53079,0.444546,0.55551,0.6365
0.18,3964.88,0.548173,0.466447,0.571316,0.64704
0.19,4388.25,0.565989,0.499828,0.588159,0.666667
0.2,4878.37,0.583608,0.500153,0.599927,0.684226
0.21,5449.63,0.60092,0.533187,0.620709,0.699945
0.22,6117.27,0.618199,0.5455,0.6365,0.714342
0.23,6892.72,0.634042,0.571316,0.64989,0.733407
0.24,7785.67,0.649348,0.58341,0.666735,0.736903
0.25,8803.05,0.663957,0.599927,0.687521,0.750086
0.26,9944.4,0.677067,0.624957,0.69247,0.764801
0.27,11203.4,0.688769,0.6365,0.714342,0.764801
0.28,12565.9,0.699458,0.64704,0.714342,0.777755
0.29,14012.6,0.708675,0.666667,0.733407,0.77788
0.3,15522.2,0.717223,0.666819,0.733407,0.77788
0.325,19418.4,0.735498,0.69247,0.750086,0.78958
0.35,23213.5,0.75231,0.714342,0.764801,0.809586
0.375,26642.4,0.769794,0.733407,0.77788,0.82616
0.4,29568,0.787136,0.750229,0.78958,0.840044
0.425,31952.2,0.800753,0.769459,0.800147,0.846203
0.45,33836.2,0.810235,0.785855,0.81265,0.85011
0.475,35294.1,0.816558,0.785855,0.81265,0.857199
0.5,36400,0.820608,0.785855,0.823682,0.86375
0.525,37229.8,0.822996,0.785855,0.823682,0.871008
0.55,37841.7,0.824538,0.785855,0.823682,0.875115
0.575,38282.5,0.825442,0.8,0.823682,0.875115
0.6,38592.8,0.826136,0.800147,0.823682,0.880088
