fdc_id,fvn_class
167512,none
167513,none
167514,none
167515,none
167516,none
167517,none
167518,none
167519,none
167520,none
167521,none
167522,fruit
167523,none
167524,none
167525,vegetable
167526,none
167527,none
167528,fruit
167529,none
167530,none
167531,none
167532,none
167533,none
167534,none
167535,none
167536,none
167537,vegetable
167538,vegetable
167539,vegetable
167540,fruit
167541,fruit
167542,none
167543,nut
167544,fruit
167545,none
167546,nut
167547,nut
167548,nut
167549,none
167550,vegetable
167551,nut
167552,nut
167553,none
167554,none
167555,none
167556,none
167557,nut
167558,vegetable
167559,none
167560,none
167561,none
167562,nut
167563,fruit
167564,none
167565,none
167566,none
167567,none
167568,none
167569,none
167570,nut
167571,none
167572,none
167573,none
167574,none
167575,none
167576,none
167577,fruit
167578,nut
167579,none
167580,none
167581,nut
167582,none
167583,fruit
167584,none
167585,none
167586,none
167587,none
167588,fruit
167589,fruit
167590,none
167591,none
167592,none
167593,none
167594,none
167595,none
167596,none
167597,none
167598,none
167599,none
167600,none
167601,none
167602,vegetable
167603,vegetable
167604,none
167605,none
167606,none
167607,none
167608,none
167609,none
167610,none
167611,none
167612,none
167613,none
167614,none
167615,none
167616,none
167617,none
167618,vegetable
167619,none
167620,none
167621,none
167622,none
167623,none
167624,none
167625,none
167626,none
167627,vegetable
167628,vegetable
167629,fruit
167630,fruit
167631,vegetable
167632,vegetable
167633,none
167634,none
167635,none
167636,none
167637,vegetable
167638,none
167639,none
167640,fruit
167641,none
167642,none
167643,none
167644,none
167645,none
167646,none
167647,none
167648,none
167649,none
167650,none
167651,none
167652,none
167653,vegetable
167654,none
167655,none
167656,none
167657,vegetable
167658,vegetable
167659,none
167660,none
167661,legume
167662,none
167663,none
167664,vegetable
167665,none
167666,legume
167667,none
167668,none
167669,none
167670,none
167671,none
167672,none
167673,none
167674,fruit
167675,none
167676,none
167677,none
167678,none
167679,fruit
167680,none
167681,fruit
167682,none
167683,none
167684,none
167685,none
167686,none
167687,none
167688,none
167689,nut
167690,fruit
167691,none
167692,none
167693,none
167694,none
167695,legume
167696,none
167697,none
167698,none
167699,none
167700,none
167701,none
167702,none
167703,none
167704,vegetable
167705,none
167706,none
167707,fruit
167708,vegetable
167709,none
167710,none
167711,none
167712,none
167713,none
167714,vegetable
167715,none
167716,none
167717,vegetable
167718,fruit
167719,legume
167720,none
167721,none
167722,legume
167723,none
167724,none
167725,none
167726,fruit
167727,none
167728,fruit
167729,fruit
167730,none
167731,fruit
167732,none
167733,fruit
167734,fruit
167735,none
167736,none
167737,none
167738,fruit
167739,none
167740,none
167741,none
167742,none
167743,none
167744,none
167745,none
167746,fruit
167747,fruit
167748,fruit
167749,fruit
167750,fruit
167751,fruit
167752,fruit
167753,fruit
167754,fruit
167755,fruit
167756,fruit
167757,fruit
167758,fruit
167759,fruit
167760,fruit
167761,fruit
167762,fruit
167763,none
167764,fruit
167765,fruit
167766,fruit
167767,fruit
167768,fruit
167769,fruit
167770,fruit
167771,fruit
167772,fruit
167773,fruit
167774,fruit
167775,fruit
167776,fruit
167777,fruit
167778,fruit
167779,fruit
167780,fruit
167781,fruit
167782,fruit
167783,fruit
167784,fruit
167785,fruit
167786,none
167787,fruit
167788,fruit
167789,fruit
167790,fruit
167791,fruit
167792,fruit
167793,fruit
167794,fruit
167795,fruit
167796,fruit
167797,fruit
167798,fruit
167799,fruit
167800,fruit
167801,fruit
167802,fruit
167803,fruit
167804,fruit
167805,fruit
167806,fruit
167807,fruit
167808,fruit
167809,fruit
167810,none
167811,none
167812,none
167813,none
167814,none
167815,none
167816,none
167817,none
167818,none
167819,none
167820,none
167821,none
167822,none
167823,none
167824,none
167825,none
167826,none
167827,none
167828,none
167829,none
167830,none
167831,none
167832,none
167833,none
167834,none
167835,none
167836,none
167837,none
167838,none
167839,none
167840,none
167841,none
167842,none
167843,none
167844,none
167845,none
167846,none
167847,none
167848,none
167849,none
167850,none
167851,none
167852,none
167853,none
167854,none
167855,none
167856,none
167857,none
167858,none
167859,none
167860,none
167861,none
167862,none
167863,none
167864,none
167865,none
167866,none
167867,none
167868,none
167869,none
167870,none
167871,none
167872,none
167873,none
167874,none
167875,none
167876,none
167877,none
167878,none
167879,none
167880,none
167881,none
167882,none
167883,none
167884,none
167885,none
167886,none
167887,none
167888,none
167889,none
167890,none
167891,none
167892,none
167893,none
167894,none
167895,none
167896,none
167897,none
167898,none
167899,none
167900,none
167901,none
167902,none
167903,none
167904,none
167905,none
167906,none
167907,none
167908,none
167909,none
167910,none
167911,none
167912,none
167913,none
167914,none
167915,none
167916,none
167917,none
167918,none
167919,none
167920,none
167921,none
167922,none
167923,none
167924,none
167925,none
167926,none
167927,fruit
167928,fruit
167929,fruit
167930,none
167931,none
167932,none
167933,none
167934,none
167935,none
167936,none
167937,none
167938,none
167939,vegetable
167940,none
167941,none
167942,none
167943,none
167944,none
167945,none
167946,none
167947,nut
167948,vegetable
167949,vegetable
167950,vegetable
167951,none
167952,none
167953,fruit
167954,none
167955,nut
167956,none
167957,fruit
167958,none
167959,vegetable
167960,vegetable
167961,none
167962,none
167963,none
167964,none
167965,none
167966,none
167967,none
167968,none
167969,none
167970,none
167971,none
167972,none
167973,none
167974,none
167975,none
167976,none
167977,none
167978,none
167979,nut
167980,none
167981,none
167982,none
167983,fruit
167984,none
167985,none
167986,none
167987,none
167988,none
167989,none
167990,none
167991,legume
167992,none
167993,none
167994,nut
167995,none
167996,none
167997,none
167998,none
167999,none
168000,nut
168001,nut
168002,fruit
168003,none
168004,none
168005,none
168006,none
168007,none
168008,none
168009,none
168010,none
168011,none
168012,none
168013,none
168014,none
168015,none
168016,none
168017,none
168018,none
168019,none
168020,none
168021,none
168022,none
168023,none
168024,none
168025,none
168026,none
168027,none
168028,none
168029,none
168030,none
168031,none
168032,none
168033,none
168034,none
168035,none
168036,none
168037,vegetable
168038,vegetable
168039,vegetable
168040,vegetable
168041,none
168042,none
168043,none
168044,vegetable
168045,none
168046,none
168047,none
168048,fruit
168049,none
168050,none
168051,none
168052,none
168053,none
168054,none
168055,none
168056,none
168057,none
168058,none
168059,none
168060,none
168061,vegetable
168062,none
168063,none
168064,legume
168065,legume
168066,none
168067,none
168068,legume
168069,none
168070,vegetable
168071,none
168072,none
168073,none
168074,none
168075,none
168076,none
168077,none
168078,none
168079,none
168080,none
168081,none
168082,none
168083,none
168084,none
168085,none
168086,none
168087,nut
168088,none
168089,none
168090,fruit
168091,fruit
168092,none
168093,vegetable
168094,none
168095,nut
168096,none
168097,none
168098,none
168099,none
168100,none
168101,none
168102,none
168103,none
168104,none
168105,none
168106,legume
168107,none
168108,nut
168109,none
168110,none
168111,none
168112,none
168113,fruit
168114,none
168115,none
168116,vegetable
168117,fruit
168118,none
168119,vegetable
168120,none
168121,none
168122,none
168123,none
168124,none
168125,vegetable
168126,none
168127,vegetable
168128,legume
168129,none
168130,none
168131,none
168132,none
168133,fruit
168134,fruit
168135,fruit
168136,none
168137,none
168138,none
168139,vegetable
168140,fruit
168141,none
168142,none
168143,none
168144,fruit
168145,none
168146,none
168147,none
168148,none
168149,none
168150,fruit
168151,fruit
168152,fruit
168153,fruit
168154,fruit
168155,fruit
168156,fruit
168157,fruit
168158,fruit
168159,fruit
168160,fruit
168161,fruit
168162,fruit
168163,fruit
168164,fruit
168165,fruit
168166,fruit
168167,fruit
168168,fruit
168169,fruit
168170,fruit
168171,fruit
168172,fruit
168173,fruit
168174,fruit
168175,fruit
168176,fruit
168177,fruit
168178,fruit
168179,fruit
168180,fruit
168181,fruit
168182,fruit
168183,fruit
168184,fruit
168185,fruit
168186,fruit
168187,fruit
168188,fruit
168189,fruit
168190,fruit
168191,fruit
168192,fruit
168193,fruit
168194,fruit
168195,fruit
168196,fruit
168197,fruit
168198,fruit
168199,none
168200,none
168201,fruit
168202,fruit
168203,fruit
168204,fruit
168205,fruit
168206,fruit
168207,fruit
168208,fruit
168209,fruit
168210,fruit
168211,fruit
168212,fruit
168213,fruit
168214,fruit
168215,none
168216,none
168217,fruit
168218,none
168219,none
168220,none
