node_id,level,n_leaves,label,top_dishes
N78299,0,1841,fish dishes,fish taco; chips fish; grilled salmon; salmon teriyaki; fish sandwich; grilled tilapia; ancho salmon; fish fried
N78170,1,520,steak dishes,cheese sandwich steak sub; baja jack sandwich steak sub; onion sandwich steak sub sweet teriyaki; baja jack steak wrap; bowl cali fresh steak; baja jack melt sandwich steak; bowl onion steak sweet teriyaki; cheese egg steak wrap
N78300,0,5152,sandwich wraps subs,italian sandwich spicy sub; chicken rotisserie sandwich style sub; bacon chicken ranch sandwich sub; club sandwich sub subway; oven roasted sandwich sub turkey; all american club sandwich sub; chicken honey mustard rotisserie sandwich style sub; avocado baja sandwich sub turkey
N78052,1,264,turkey sandwich variations,oven roasted sandwich sub turkey; avocado baja sandwich sub turkey; oven roasted turkey wrap; bowl oven roasted turkey; club subway wrap; cali fresh turkey wrap; bowl cali fresh turkey; ham oven roasted turkey wrap
N78094,1,279,salad and bowl dishes,bowl menu power; caesar chicken salad; caesar salad; chicken grilled salad; chicken rotisserie; chopped cobb salad; cobb salad; buffalo salad wedge
N77652,1,70,tortellini pasta dishes,cheese pasta pesto tortelloni; cheese pasta rosa tortelloni; cream garlic pasta roasted tortelloni; cheese pasta tortellini; pasta tortellini; alfredo pasta tortellini; baked pasta tortellini; marinara pasta tortellini
N78172,1,482,Mexican fajita dishes,meats sandwich sub supreme; chicken fajita; meats supreme wrap; chicken fajita taco; fajita trio; fajita taco; grill mixed; fajita plate
N78014,1,746,cheeseburger variations,burger cheeseburger; bacon burger cheeseburger; bacon big burger cheddar cheeseburger; bacon bourbon burger cheeseburger; cheeseburger; burger cheese; burger mushroom swiss; bacon burger
N78217,0,1049,pork dishes,al pastor taco; pork pulled sandwich; fried pork rice; carnitas taco; pork sour sweet; cuban sandwich; menudo; garlic pork sauce
N78067,1,180,burger varieties,patty sandwich sub veggie; bacon big burger classic; burger whopper; burger stack; baconator burger; baconator burger son; bacon burger stack; burger whataburger
N78307,0,2803,shrimp dishes,broccoli shrimp; kung pao shrimp; shrimp taco; fajita shrimp; garlic sauce shrimp; shrimp sour sweet; fried shrimp; hunan shrimp
N78280,0,827,breakfast foods sweets fried,caramel chocolate hot; buttermilk original pancakes; corn dog; buttermilk pancakes; belgian waffle; waffle; blueberry pancakes; biscuits gravy
N78191,0,828,meat-centric comfort dishes,marinara meatball sandwich sub; bean black crunchwrap supreme; beefy burrito melt; marinara meatball wrap; marinara meatball melt sandwich; meat mozza wrap; meatball sub; crunchy taco
N78279,0,1174,steak dishes,cheese sandwich steak sub; baja jack sandwich steak sub; onion sandwich steak sub sweet teriyaki; beef mongolian; baja jack steak wrap; bowl cali fresh steak; baja bowl jack steak; baja jack melt sandwich steak
N78117,1,528,chicken fried snacks,boneless wings; handcrafted tenders; chicken tenders; chicken nuggets spicy; chicken crispy nuggets; chicken fried; chicken waffles; mcnuggets
N77745,1,388,burrito dishes,burrito chicken chipotle grilled ranch; burrito supreme; burrito quesarito; bean black quesarito; bean black burrito quesarito; chimichanga; burrito chicken; burrito fajita
N77696,1,118,lamb kebab dishes,kabob kafta; kabab seekh; kabab lamb seekh; bowl lamb meatball spicy; burger lamb; burger gyro; adana kebab; kabob kubideh
N78295,0,2242,vegetarian mexican dishes,bean burrito cheesy rice; burrito fiesta veggie; bean burrito; cheese chips nacho sauce; bowl menu power veggie; bean black chalupa cheddar toasted; delite veggie wrap; browns hash
N78118,1,573,Mexican cheese dishes,cheesy roll up; chicken quesadilla; enchiladas; cheese enchiladas; enchilada plate; chicken enchiladas; chicken nacho spicy; chicken fajita quesadilla
N78304,0,684,meat and cheese dishes,bowl cheese steak; bbq ribs; cheesesteak philly; cheese philly sandwich steak; pork ribs; philly steak; baby back ribs; big cheese kahuna steak sub
N78263,0,714,rice and bean dishes,beans black; biryani chicken; biryani shrimp; dal makhani; biryani vegetable; chicken vindaloo; biryani goat; beef brisket corned sub
N78084,1,281,philly cheesesteak variations,bowl cheese steak; cheesesteak philly; cheese philly sandwich steak; philly steak; big cheese kahuna steak sub; cheese philly sandwich stacker steak; cheese portabella steak sub; philly sandwich
N78149,1,820,chicken sandwiches and wraps,chicken grilled sandwich; chicken sandwich spicy; buffalo chicken wrap; chicken honey hot sandwich; chicken classic sandwich; chicken sandwich; bacon chicken ranch wrap; chicken crispy sandwich
N78297,0,1450,sushi and seafood rolls,melt sandwich tuna; tuna wrap; bowl tuna; california roll; salad sandwich tuna; roll spicy tuna; philadelphia roll; roll salmon
N78089,1,65,corn based dishes,corn quesadilla; esquite; corn nuggets; elote en vaso; corn elote street; elote entero; corn pizza street; corn salad
N77623,1,73,beef tenderloin dishes,sandwich steak tenderloin; grilled marinated tenders texas true; beef tenderloin; beef filet tenderloin; barg kabob; beef sandwich tender; beef tataki; steak tenderloin
N78161,1,166,steak dishes,cali fresh sandwich steak sub; cali fresh steak wrap; classic sirloin; sandwich steak; eggs steak; sirloin steak; oz sirloin top; avocado bowl cali fresh sliced steak
N78092,1,152,cheesy Mexican snacks,cheese quesadilla; nachos; bellgrande nachos; bean cheese nachos; cheese nachos; nachos supreme; loaded nachos; beef ground nachos
N78180,1,341,fish dishes,fish fried; fillet fish; catfish fried; catfish fillets; frito pescado; fish grilled; blackened catfish; baked fish
N78303,0,4729,chicken dishes,chicken grilled sandwich; boneless wings; handcrafted tenders; chicken sandwich spicy; potato soft spicy taco; chicken tenders; buffalo chicken wrap; chicken honey hot sandwich
N78064,1,792,chicken dishes,chicken kabob; arroz con pollo; bowl burrito chicken; bowl burrito chicken southwest; bowl chicken teriyaki; engineer sub; chicken hibachi; bowl chicken chipotle fresh mex
N78109,1,419,meat sandwiches and burgers,marinara meatball sandwich sub; marinara meatball wrap; marinara meatball melt sandwich; meat mozza wrap; meatball sub; burger classic; meatloaf; burger chili
N77012,1,61,Reuben sandwich variations,reuben sandwich; beef corned sandwich; classic reuben sandwich; grilled reuben sandwich; pizza reuben; reuben rye; beef corned rye sandwich; reuben sandwich york
N78169,1,469,beef-based dishes,lengua taco; beef enchiladas; taco tripa; beef bowl burrito shredded spicy; beef chop suey; beef plate shawarma; beef corned eggs hash; beef corned hash
N78164,1,599,Italian pasta and pizza,italian spicy wrap; bowl italian spicy; bowl italian; alfredo fettuccine pasta; alfredo chicken pasta; pizza works; italian original sub; cajun chicken pasta
N78294,0,1895,pizza varieties,cheese pizza; buffalo chicken pizza; bbq chicken pizza; pizza supreme; lovers meat pizza; margherita pizza; hawaiian pizza; pepperoni pizza
N78151,1,304,chicken sandwich subs,italian sandwich spicy sub; chicken rotisserie sandwich style sub; bacon chicken ranch sandwich sub; club sandwich sub subway; all american club sandwich sub; chicken honey mustard rotisserie sandwich style sub; bacon chicken melt ranch sandwich; chicken oven roasted sandwich sub
N78076,1,283,meat pizza dishes,flatbread pepperoni pizza; flatbread pepperoni pizza sausage; bacon cheeseburger pizza; philly pizza; philly pizza steak; pizza steak sub; melt pepperoni; meatball pizza signature
N78278,0,695,lamb and goat dishes,biryani lamb; curry goat; curry lamb; chops lamb; lamb vindaloo; kabob lamb; korma lamb; gyro lamb
N77997,1,276,spiced lamb dishes,biryani lamb; curry lamb; lamb vindaloo; kabob lamb; korma lamb; gyro lamb; lamb saag; lamb masala tikka
N78167,1,307,beef dishes,beef mongolian; onion steak sweet teriyaki wrap; quesadilla steak; beef hunan; beef kung pao; beef orange; ranchero steak; beef moo shu
N78177,1,246,beef roast sandwiches,beef roast sandwich sub; beef bowl roast; dip french sandwich; beef gyro roast sandwich; beef provolone roast sub; beef classic roast; beef pound roast; beef roast sandwich slider
N78080,1,409,Mexican fast food,bean black crunchwrap supreme; beefy burrito melt; crunchy taco; crunchy supreme taco; crunchwrap supreme; chalupa supreme; cheese doritos locos nacho taco; cheese doritos locos nacho supreme taco
N77969,1,293,salmon dishes,salmon teriyaki; grilled platter salmon shrimp; kabob salmon; burger salmon; curry salmon; salmon tandoori; bowl salmon teriyaki; grilled plate salmon
